id,name,league_id
1,Arsenal,13
2,Aston Villa,13
3,Blackburn Rovers,14
4,Bolton Wanderers,60
5,Chelsea,13
7,Everton,13
8,Leeds United,14
9,Liverpool,13
10,Manchester City,13
11,Manchester United,13
12,Middlesbrough,14
13,Newcastle United,13
14,Nottingham Forest,13
15,Queens Park Rangers,14
17,Southampton,14
18,Tottenham Hotspur,13
19,West Ham United,13
21,FC Bayern München,19
22,Borussia Dortmund,19
23,Borussia Mönchengladbach,19
25,SC Freiburg,19
27,Hansa Rostock,20
28,Hamburger SV,20
29,Kaiserslautern,20
31,FC Köln,19
32,Bayer 04 Leverkusen,19
33,1860 München,2076
34,Schalke 04,20
36,VfB Stuttgart,19
38,Werder Bremen,19
39,Atalanta,31
44,Inter,31
45,Juventus,31
46,Lazio,31
47,Milan,31
48,Napoli,31
50,Parma,32
52,Roma,31
54,Torino,31
55,Udinese,31
57,Auxerre,17
58,Bastia,17
59,Bordeaux,17
62,Guingamp,17
64,Lens,16
65,Lille,16
66,Olympique Lyonnais,16
68,Metz,16
69,Monaco,16
70,Montpellier,16
71,Nantes,16
72,Nice,16
73,Paris Saint Germain,16
74,Rennes,16
76,Strasbourg,16
77,Aberdeen,50
78,Celtic,50
80,Hearts,50
81,Hibernian,50
82,Kilmarnock,50
83,Motherwell,50
86,Rangers,50
88,Birmingham City,14
89,Charlton Athletic,60
91,Derby County,60
92,Grimsby Town,61
94,Ipswich Town,14
95,Leicester City,14
97,Millwall,14
106,Sunderland,14
109,West Bromwich Albion,14
110,Wolverhampton Wanderers,13
121,Crewe Alexandra,61
127,Shrewsbury Town,60
142,Doncaster Rovers,61
143,Exeter City,60
144,Fulham,13
149,Lincoln City,60
159,DSC Arminia Bielefeld,2076
160,VfL Bochum 1848,19
165,SpVgg Greuther Fürth,20
166,Hertha BSC,20
169,FSV Mainz 05,19
171,Nürnberg,20
172,Unterhaching,2076
175,VfL Wolfsburg,19
180,Dundee,50
189,Bologna,31
190,Brescia,32
191,Salzburg,80
205,Venezia,32
206,Hellas Verona,31
209,Sturm Graz,80
210,Caen,17
211,Dinamo Zagreb,317
217,Lorient,16
219,Olympique de Marseille,16
229,Anderlecht,4
230,Antwerp,4
231,Club Brugge,4
232,Standard Liège,4
234,Benfica,308
236,Porto,308
237,Sporting CP,308
240,Atlético Madrid,53
241,FC Barcelona,53
243,Real Madrid,53
244,Real Zaragoza,54
245,Ajax,10
246,Feyenoord,10
247,PSV,10
252,LASK Linz,80
254,Rapid Wien,80
256,Austria Wien,80
260,Tenerife,54
263,Hajduk Split,317
266,Slavia Praha,319
267,Sparta Praha,319
269,Brøndby,1
270,Silkeborg,1
271,AGF,1
272,OB,1
278,AEK Athens,63
294,Troyes,17
298,Rosenborg,41
299,Lillestrøm,41
300,Viking,41
301,Widzew Lodz,66
305,Bohemians,65
306,Shamrock Rovers,65
308,Universitatea Craiova,330
310,Rapid Bucuresti,330
319,IFK Göteborg,56
320,Malmö FF,56
321,Halmstad,56
322,Grasshopper,189
324,Servette,189
325,Galatasaray,68
326,Fenerbahçe,68
327,Beşiktaş,68
347,Lecce,31
357,Morecambe,61
361,Stevenage,60
378,Brest,16
379,Stade de Reims,16
381,Barrow,61
383,Palmeiras,7
393,PAOK,63
417,Molde,41
418,Tromsø,41
420,Górnik Zabrze,66
422,Cork City,65
423,St Patrick's,65
433,AIK,56
436,Trabzonspor,68
445,Derry City,65
448,Athletic Club,53
449,Real Betis,53
450,Celta de Vigo,53
452,Espanyol,54
453,Mallorca,53
456,Racing Santander,54
457,Real Sociedad,53
459,Sporting Gijón,54
461,Valencia,53
462,Real Valladolid,54
463,Deportivo Alavés,53
467,SD Eibar,54
468,Elche,54
472,Las Palmas,53
479,Osasuna,53
480,Rayo Vallecano,53
481,Sevilla,53
483,Villarreal,53
485,Hannover 96,20
487,Osnabrück,20
489,Farense,308
492,Wehen Wiesbaden,20
503,Dynamo Dresden,2076
506,Erzgebirge Aue,2076
517,Botafogo,7
518,Chaves,308
523,Saarbrücken,2076
526,Rot-Weiss Essen,2076
531,Preußen Münster,2076
543,Jahn Regensburg,2076
561,Forest Green Rovers,61
563,Sligo Rovers,65
567,Fluminense,7
570,Ternana,32
576,Holstein Kiel,20
580,Elversberg,20
598,São Paulo,7
605,Al Hilal,350
607,Al Ittihad,350
614,Ajaccio,17
621,Livingston,50
631,Ross County,50
634,Fortuna Sittard,10
645,FC Volendam,10
670,Sporting Charleroi,4
673,Genk,4
674,Gent,4
680,Sint-Truiden,4
681,Westerlo,4
687,Columbus Crew,39
688,DC United,39
689,New York RB,39
691,New England,39
693,Chicago Fire,39
694,Colorado Rapids,39
695,Dallas,39
696,Sporting Kansas City,39
697,LA Galaxy,39
698,Houston Dynamo,39
700,Elfsborg,56
702,Norrköping,56
708,Hammarby,56
710,Djurgården,56
711,Häcken,56
718,Estrela Amadora,308
741,Antalyaspor,68
744,Rio Ave,308
746,İstanbulspor,68
748,Samsunspor,68
781,Austria Lustenau,80
819,København,1
822,Vejle,1
834,Shelbourne,65
837,Dundalk,65
873,Lech Poznań,66
874,Ruch Chorzów,66
894,Zürich,189
896,Basel,189
897,Luzern,189
898,St. Gallen,189
900,Young Boys,189
917,Stabæk,41
918,Bodø / Glimt,41
919,Brann,41
920,Vålerenga,41
922,Strømsgodset,41
980,Daejeon Citizen,83
982,Seoul,83
983,Suwon Bluewings,83
