id,name,level
1,Superliga,1
4,Jupiler Pro League,1
7,Serie A,1
10,Eredivisie,1
13,Premier League,1
14,Championship,2
16,Ligue 1,1
17,Ligue 2,2
19,Bundesliga,1
20,2. Bundesliga,2
31,Serie A,1
32,Serie B,2
39,Major League Soccer,1
41,Eliteserien,1
50,Premiership,1
53,La Liga,1
54,La Liga 2,2
56,Allsvenskan,1
60,League One,3
61,League Two,4
63,Super League,1
64,NB I.,1
65,Premier Division,1
66,Ekstraklasa,1
68,Super Lig,1
80,Bundesliga,1
83,K League 1,1
189,Super League,1
308,Liga Portugal,1
317,1. HNL,1
318,1. Division,1
319,Fortuna Liga,1
322,Veikkausliiga,1
330,Liga 1,1
332,Premier League,1
335,Primera Division,1
336,Liga BetPlay,1
337,Primera División,1
338,Primera Division,1
350,Pro League,1
351,A-League,1
353,Liga Profesional,1
2012,Super League,1
2013,Pro League,1
2017,Liga De Futbol Prof,1
2018,Liga Pro,1
2019,Primera Division,1
2020,Primera Division,1
2076,3. Liga,3
2149,Super League,1
